2025-06-07T10:00:03.481Z | CPU temp: 47.2°C | CPU load: 0.33
2025-06-07T10:00:13.493Z | CPU temp: 45.7°C | CPU load: 0.28
2025-06-07T10:00:23.495Z | CPU temp: 47.2°C | CPU load: 0.24
2025-06-07T10:00:33.496Z | CPU temp: 45.7°C | CPU load: 0.20
2025-06-07T10:00:43.500Z | CPU temp: 46.2°C | CPU load: 0.17
2025-06-07T10:00:53.501Z | CPU temp: 45.7°C | CPU load: 0.14
2025-06-07T10:01:03.502Z | CPU temp: 46.2°C | CPU load: 0.12
2025-06-07T10:01:13.506Z | CPU temp: 45.7°C | CPU load: 0.10
2025-06-07T10:01:23.507Z | CPU temp: 45.7°C | CPU load: 0.08
2025-06-07T10:01:33.508Z | CPU temp: 45.2°C | CPU load: 0.07
2025-06-07T10:01:43.511Z | CPU temp: 45.7°C | CPU load: 0.06
2025-06-07T10:01:53.513Z | CPU temp: 45.7°C | CPU load: 0.12
2025-06-07T10:02:03.514Z | CPU temp: 45.7°C | CPU load: 0.10
2025-06-07T10:02:13.517Z | CPU temp: 45.2°C | CPU load: 0.09
2025-06-07T10:02:23.519Z | CPU temp: 45.2°C | CPU load: 0.07
2025-06-07T10:02:33.520Z | CPU temp: 45.7°C | CPU load: 0.06
2025-06-07T10:02:43.523Z | CPU temp: 44.8°C | CPU load: 0.05
2025-06-07T10:02:53.525Z | CPU temp: 45.2°C | CPU load: 0.04
2025-06-07T10:03:03.524Z | CPU temp: 44.8°C | CPU load: 0.04
2025-06-07T10:03:13.528Z | CPU temp: 44.3°C | CPU load: 0.03
2025-06-07T10:03:23.530Z | CPU temp: 44.8°C | CPU load: 0.03
2025-06-07T10:03:33.531Z | CPU temp: 44.3°C | CPU load: 0.02
2025-06-07T10:03:43.535Z | CPU temp: 45.7°C | CPU load: 0.02
2025-06-07T10:03:53.535Z | CPU temp: 44.3°C | CPU load: 0.01
2025-06-07T10:04:03.535Z | CPU temp: 43.8°C | CPU load: 0.01
2025-06-07T10:04:13.542Z | CPU temp: 44.8°C | CPU load: 0.01
2025-06-07T10:04:23.544Z | CPU temp: 44.8°C | CPU load: 0.01
2025-06-07T10:04:33.542Z | CPU temp: 45.7°C | CPU load: 0.01
2025-06-07T10:04:43.549Z | CPU temp: 44.3°C | CPU load: 0.00
2025-06-07T10:04:53.550Z | CPU temp: 44.3°C | CPU load: 0.00
2025-06-07T10:05:03.548Z | CPU temp: 44.8°C | CPU load: 0.00
2025-06-07T10:05:13.553Z | CPU temp: 44.3°C | CPU load: 0.00
2025-06-07T10:05:23.556Z | CPU temp: 44.8°C | CPU load: 0.00
